sample	t2onc_type	dnaseq_run	rnaseq_run	rnaseq_id	mouse	pathology_type	include_shearsplink
12SKA020	chr15-donor	Pool3.1	run215	2049_33_12SKA020-meta	12SKA020	"Spindle cell tumor, ILC"	TRUE
12SKA022	chr15-donor	Pool3.1	run215	2049_34_12SKA022	12SKA022	ILC	TRUE
12SKA027	chr1-donor	Pool3.1	run215	2049_36_12SKA027	12SKA027	Squamous	FALSE
12SKA028	chr15-donor	Pool3.1	run215	2049_37_12SKA028	12SKA028	Spindle cell	FALSE
12SKA029-R3	chr15-donor	Pool3.1	run215	2049_38_12SKA029_R3	12SKA029	ILC	TRUE
12SKA029-R5-L5	chr15-donor	Pool3.1	run215	2049_39_12SKA029-R5-L5	12SKA029	"Squamous, spindle cell, ILC"	TRUE
12SKA033-R3	chr15-donor	Sanger1	run376	2800_1_12SKA033-R3	12SKA033	Spindle cell tumor	FALSE
12SKA035-L3	chr15-donor	Sanger1	run376	2800_2_12SKA035-L3	12SKA035	ILC	TRUE
12SKA036-R3	chr15-donor	Sanger1	run376	2800_3_12SKA036-R3	12SKA036	Spindle cell tumor	FALSE
12SKA037-R3	chr15-donor	Sanger1	run376	2800_4_12SKA037-R3	12SKA037	Spindle cell tumor	FALSE
12SKA038-L3	chr15-donor	Sanger1	run376	2800_5_12SKA038-L3	12SKA038	"Spindle cell tumor, ILC"	TRUE
12SKA038-R5	chr15-donor	Sanger1	run376	2800_6_12SKA038-R5	12SKA038	"Squamous, spindle cell, ILC"	TRUE
12SKA043-R4	chr15-donor	Sanger1	run376	2800_7_12SKA043-R4	12SKA043	ILC	TRUE
12SKA045-R3	chr15-donor	Sanger1	run376	2800_8_12SKA045-R3	12SKA045	ILC	TRUE
12SKA046-R3	chr1-donor	Sanger1	run376	2800_9_12SKA046-R3	12SKA046	ILC	TRUE
12SKA058-L3	chr1-donor	Sanger1	run376	2800_10_12SKA058-L3	12SKA058	"Spindle cell tumor, ILC"	TRUE
12SKA058-R3	chr1-donor	Sanger1	run376	2800_11_12SKA058-R3	12SKA058	"Spindle cell tumor, ILC"	TRUE
12SKA060-R3	chr1-donor	Sanger1	run376	2800_12_12SKA060-R3	12SKA060	Spindle cell tumor	FALSE
12SKA062-L4	chr1-donor	Sanger1	run376	2800_13_12SKA062-L4	12SKA062	ILC	TRUE
12SKA062-R4	chr1-donor	Sanger1	run376	2800_14_12SKA062-R4	12SKA062	ILC	TRUE
12SKA063-R3	chr15-donor	Sanger1	run376	2800_16_12SKA063-R3	12SKA063	ILC	TRUE
12SKA064-L2	chr1-donor	Sanger1	run376	2800_17_12SKA064-L2	12SKA064	"Spindle cell tumor, squamous"	FALSE
12SKA064-L3	chr1-donor	Sanger1	run376	2800_18_12SKA064-L3	12SKA064	ILC	TRUE
12SKA064-R4-R5	chr1-donor	Sanger1	run376	2800_19_12SKA064-R4-R5	12SKA064	Squamous	FALSE
12SKA068-L3	chr15-donor	Sanger1	run376	2800_20_12SKA068-L3	12SKA068	ILC	TRUE
12SKA068-R5	chr15-donor	Sanger1	run376	2800_21_12SKA068-R5	12SKA068	"Squamous, ILC"	TRUE
12SKA073-R3	chr1-donor	Sanger1	run376	2800_23_12SKA073-R3	12SKA073	ILC	TRUE
12SKA075-R4	chr15-donor	Sanger1	run376	2800_24_12SKA075-R4	12SKA075	Squamous	FALSE
12SKA075-R5	chr15-donor	Sanger1	run376	2800_25_12SKA075-R5	12SKA075	ILC	TRUE
12SKA079-L3	chr15-donor	Sanger1	run376	2800_26_12SKA079-L3	12SKA079	"Spindle cell tumor, ILC"	TRUE
12SKA079-R3	chr15-donor	Sanger1	run376	2800_27_12SKA079-R3	12SKA079	ILC	TRUE
12SKA082-L3-neck	chr15-donor	Sanger1	run376	2800_28_12SKA082-L3-neck	12SKA082	"Spindle cell tumor, ILC"	TRUE
12SKA084-L3	chr1-donor	Sanger1	run376	2800_29_12SKA084-L3	12SKA084	"Spindle cell tumor, ILC"	TRUE
12SKA086-R3	chr1-donor	Sanger1	run376	2800_30_12SKA086-R3	12SKA086	"Spindle cell tumor, squamous, ILC"	TRUE
12SKA087-R4	chr1-donor	Sanger1	run376	2800_31_12SKA087-R4	12SKA087	ILC	TRUE
12SKA090-L3	chr15-donor	Sanger1	run376	2800_32_12SKA090-L3	12SKA090	ILC	TRUE
12SKA090-R2	chr15-donor	Sanger1	run376	2800_33_12SKA090-R2	12SKA090	"Squamous, ILC"	TRUE
12SKA091-L3	chr1-donor	Sanger1	run377	2800_34_12SKA091-L3	12SKA091	ILC	TRUE
12SKA091-R4	chr1-donor	Sanger1	run377	2800_35_12SKA091-R4	12SKA091	"Spindle cell tumor, squamous, ILC"	TRUE
12SKA092-L2	chr1-donor	Sanger1	run377	2800_36_12SKA092-L2	12SKA092	ILC	TRUE
12SKA092-L4-L5	chr1-donor	Sanger1	run377	2800_37_12SKA092-L4-L5	12SKA092	ILC	TRUE
12SKA093-R3	chr15-donor	Sanger1	run377	2800_38_12SKA093-R3	12SKA093	ILC	TRUE
12SKA095-R3	chr1-donor	Sanger1	run377	2800_39_12SKA095-R3	12SKA095	"Spindle cell tumor, ILC"	TRUE
12SKA097-R3	chr15-donor	Sanger1	run377	2800_40_12SKA097-R3	12SKA097	"Spindle cell tumor, ILC"	TRUE
12SKA100-R3	chr1-donor	Sanger1	run377	2800_41_12SKA100-R3	12SKA100	Spindle cell tumor	FALSE
12SKA101-L3	chr1-donor	Sanger1	run377	2800_42_12SKA101-L3	12SKA101	ILC	TRUE
12SKA102-R3	chr1-donor	Sanger1	run377	2800_43_12SKA102-R3	12SKA102	ILC	TRUE
12SKA104-R3	chr15-donor	Sanger2	run377	2800_44_12SKA104-R3	12SKA104	"Spindle cell tumor, ILC, squamous"	TRUE
12SKA106-R3	chr15-donor	Sanger2	run377	2800_46_12SKA106-R3	12SKA106	"Spindle cell tumor, squamous, ILC"	TRUE
12SKA108-R1-R2	chr1-donor	Sanger2	run377	2800_47_12SKA108-R1-R2	12SKA108	"Spindle cell tumor, squamous, ILC"	TRUE
12SKA108-R3	chr1-donor	Sanger2	run377	2800_48_12SKA108-R3	12SKA108	ILC	TRUE
12SKA110-L3	chr15-donor	Sanger2	run377	2800_49_12SKA110-L3	12SKA110	Squamous	FALSE
12SKA110-L4	chr15-donor	Sanger2	run377	2800_50_12SKA110-L4	12SKA110	"Spindle cell tumor, squamous, ILC"	TRUE
12SKA111-L4	chr1-donor	Sanger2	run377	2800_51_12SKA111-L4	12SKA111	"Spindle cell tumor, ILC"	TRUE
12SKA119-L2	chr15-donor	Sanger2	run379	2800_54_12SKA119-L2	12SKA119	ILC	TRUE
12SKA119-L5	chr15-donor	Sanger2	run379	2800_55_12SKA119-L5	12SKA119	ILC	TRUE
12SKA119-R3	chr15-donor	Sanger2	run379	2800_56_12SKA119-R3	12SKA119	ILC	TRUE
12SKA120-R3	chr1-donor	Sanger2	run379	2800_57_12SKA120-R3	12SKA120	ILC	TRUE
12SKA127-R3	chr15-donor	Sanger2	run379	2800_58_12SKA127-R3	12SKA127	"ILC, spindle cell tumor"	TRUE
12SKA130-R3	chr15-donor	Sanger2	run379	2800_59_12SKA130-R3	12SKA130	Spindle cell tumor	FALSE
12SKA132-R5	chr15-donor	Sanger2	run379	2800_60_12SKA132-R5	12SKA132	ILC	TRUE
12SKA133-L2-L3	chr15-donor	Sanger2	run379	2800_61_12SKA133-L2-L3	12SKA133	ILC	TRUE
12SKA133-R3	chr15-donor	Sanger2	run379	2800_62_12SKA133-R3	12SKA133	ILC	TRUE
12SKA134-R3	chr1-donor	Sanger2	run382	2800_64_12SKA134-R3	12SKA134	ILC	TRUE
12SKA136-L2	chr1-donor	Sanger2	run382	2800_65_12SKA136-L2	12SKA136	"Spindle cell tumor, ILC"	TRUE
13SKA001-L4	chr1-donor	Sanger2	run382	2800_66_13SKA001-L4	13SKA001	"Spindle cell tumor, squamous, ILC"	TRUE
13SKA002-L3	chr15-donor	Sanger2	run382	2800_67_13SKA002-L3	13SKA002	ILC	TRUE
13SKA003-L3	chr15-donor	Sanger2	run382	2800_68_13SKA003-L3	13SKA003	ILC	TRUE
13SKA003-R3	chr15-donor	Sanger2	run382	2800_69_13SKA003-R3	13SKA003	ILC	TRUE
13SKA005-L3	chr1-donor	Sanger2	run382	2800_70_13SKA005-L3	13SKA005	"Spindle cell tumor, ILC"	TRUE
13SKA007-L3	chr15-donor	Sanger2	run382	2800_71_13SKA007-L3	13SKA007	Spindle cell tumor	FALSE
13SKA008-Leg-right	chr1-donor	Sanger2	run382	2800_72_13SKA008-leg-right	13SKA008	Spindle cell tumor	FALSE
13SKA010-R2	chr1-donor	Sanger2	run382	2800_73_13SKA010-R2	13SKA010	ILC	TRUE
13SKA011-L3	chr1-donor	Sanger2	run379	2800_74_13SKA011-L3	13SKA011	ILC	TRUE
13SKA012-L2	chr15-donor	Sanger2	run379	2800_75_13SKA012-L2	13SKA012	ILC	TRUE
13SKA012-L3	chr15-donor	Sanger2	run379	2800_76_13SKA012-L3	13SKA012	"Spindle cell tumor, ILC"	TRUE
13SKA013-L3	chr1-donor	Sanger2	run379	2800_77_13SKA013-L3	13SKA013	"Spindle cell tumor, ILC"	TRUE
13SKA014-L2-neck	chr15-donor	Sanger2	run379	2800_79_13SKA014-L2-neck	13SKA014	Spindle cell tumor	FALSE
13SKA014-R3	chr15-donor	Sanger2	run379	2800_80_13SKA014-R3	13SKA014	"Squamous, ILC"	TRUE
13SKA017-L4	chr1-donor	Sanger2	run379	2800_81_13SKA017-L4	13SKA017	Squamous	FALSE
13SKA018-L3	chr15-donor	Sanger2	run379	2800_82_13SKA018-L3	13SKA018	ILC	TRUE
